Time;CH 1 Channel 1
0.004047980;0
0.004048020;1
0.004048080;0
0.004048120;1
0.004048180;0
0.004048220;1
0.004048280;0
0.004048320;1
0.004048380;0
0.004048420;1
0.004048480;0
0.004048520;1
0.004048580;0
0.004048620;1
0.004048680;0
0.004048720;1
0.004048780;0
0.004048820;1
0.004048880;0
0.004048920;1
0.004048980;0
0.004049020;1
0.004049080;0
0.004049120;1
0.004049180;0
0.004049220;1
0.004049280;0
0.004049320;1
0.004049380;0
0.004049420;1
0.004049480;0
0.004049520;1
0.004049580;0
0.004049620;1
0.004049680;0
0.004049720;1
0.004049780;0
0.004049820;1
0.004049880;0
0.004049920;1
0.004049980;0
0.004050020;1
0.004050080;0
0.004050120;1
0.004050180;0
0.004050220;1
0.004050280;0
0.004050320;1
0.004050380;0
0.004050420;1
0.004050480;0
0.004050520;1
0.004050580;0
0.004050620;1
0.004050680;0
0.004050720;1
0.004050780;0
0.004050820;1
0.004050880;0
0.004050920;1
0.004050980;0
0.004051020;1
0.004051080;0
0.004051120;1
0.004051180;0
0.004051220;1
0.004051280;0
0.004051320;1
0.004051380;0
0.004051420;1
0.004051480;0
0.004051520;1
0.004051580;0
0.004051620;1
0.004051680;0
0.004051720;1
0.004051780;0
0.004051820;1
0.004051880;0
0.004051920;1
0.004051980;0
0.004052020;1
0.004052080;0
0.004052120;1
0.004052180;0
0.004052220;1
0.004052280;0
0.004052320;1
0.004052380;0
0.004052420;1
0.004052480;0
0.004052520;1
0.004052580;0
0.004052620;1
0.004052680;0
0.004052720;1
0.004052780;0
0.004052820;1
0.004052880;0
0.004052920;1
0.004052980;0
0.004053020;1
0.004053080;0
0.004053120;1
0.004053180;0
0.004053220;1
0.004053280;0
0.004053320;1
0.004053380;0
0.004053420;1
0.004053480;0
0.004053520;1
0.004053580;0
0.004053620;1
0.004053680;0
0.004053720;1
0.004053780;0
0.004053820;1
0.004053880;0
0.004053920;1
0.004053980;0
0.004054020;1
0.004054080;0
0.004054120;1
0.004054180;0
0.004054220;1
0.004054280;0
0.004054320;1
0.004054380;0
0.004054420;1
0.004054480;0
0.004054520;1
0.004054580;0
0.004054620;1
0.004054680;0
0.004054720;1
0.004054780;0
0.004054820;1
0.004054880;0
0.004054920;1
0.004054980;0
0.004055020;1
0.004055080;0
0.004055120;1
0.004055180;0
0.004055220;1
0.004055320;0
0.004055360;1
0.004055420;0
0.004055520;1
0.004055580;0
0.004055620;1
0.004055680;0
0.004055720;1
0.004055780;0
0.004055820;1
0.004055880;0
0.004055920;1
0.004055980;0
0.004056020;1
0.004056120;0
0.004056220;1
0.004056320;0
0.004056360;1
0.004056420;0
0.004056520;1
0.004056580;0
0.004056620;1
0.004056720;0
0.004056820;1
0.004056880;0
0.004056920;1
0.004056980;0
0.004057020;1
0.004057080;0
0.004057120;1
0.004057180;0
0.004057220;1
0.004057280;0
0.004057320;1
0.004057420;0
0.004057460;1
0.004057520;0
0.004057560;1
0.004057620;0
0.004057720;1
0.004057820;0
0.004057920;1
0.004058020;0
0.004058120;1
0.004058180;0
0.004058840;1
0.004061700;1
